maxPopulationSize,mutationChance,iterationCount,amountOfFittestPopulationToKeep,bestGenotype,bestGenotypeScore,totalTime
50,0.001,50,0.4,260537412,186,10
50,0.001,50,0.4,260537142,186,9
50,0.001,50,0.4,214735062,184,10
50,0.001,50,0.4,260537142,186,6
50,0.001,50,0.4,260537412,186,11
50,0.001,50,0.4,260537412,186,11
50,0.001,50,0.4,214735062,184,9
50,0.001,50,0.4,260531472,186,12
50,0.001,50,0.4,260537142,186,10
50,0.001,50,0.4,260537142,186,10
50,0.001,50,0.4,214735062,184,9
50,0.001,50,0.4,260537412,186,11
50,0.001,50,0.4,214735062,184,10
50,0.001,50,0.4,260537142,186,11
50,0.001,50,0.4,260531472,186,11
50,0.001,50,0.4,260537142,186,10
50,0.001,50,0.4,273506412,171,10
50,0.001,50,0.4,235061472,165,8
50,0.001,50,0.4,214735062,184,12
50,0.001,50,0.4,214735062,184,11
50,0.001,50,0.4,214735062,184,9
50,0.001,50,0.4,260531472,186,10
50,0.001,50,0.4,273506412,171,11
50,0.001,50,0.4,214735062,184,10
50,0.001,50,0.4,214735062,184,10
50,0.001,50,0.4,214735062,184,9
50,0.001,50,0.4,214735062,184,9
50,0.001,50,0.4,214735062,184,7
50,0.001,50,0.4,214735062,184,10
50,0.001,50,0.4,260537412,186,9
50,0.001,50,0.4,214735062,184,10
50,0.005,50,0.4,274135062,183,10
50,0.005,50,0.4,214735062,184,9
50,0.005,50,0.4,260537142,186,10
50,0.005,50,0.4,260531472,186,9
50,0.005,50,0.4,260537412,186,9
50,0.005,50,0.4,276053142,180,9
50,0.005,50,0.4,260531472,186,6
50,0.005,50,0.4,260537412,186,11
50,0.005,50,0.4,260537142,186,7
50,0.005,50,0.4,214735062,184,9
50,0.005,50,0.4,214735062,184,8
50,0.005,50,0.4,260537142,186,10
50,0.005,50,0.4,260537412,186,10
50,0.005,50,0.4,260537412,186,10
50,0.005,50,0.4,214735062,184,9
50,0.005,50,0.4,260537412,186,8
50,0.005,50,0.4,214735062,184,10
50,0.005,50,0.4,260537142,186,6
50,0.005,50,0.4,260537142,186,10
50,0.005,50,0.4,276053142,180,6
50,0.005,50,0.4,260537412,186,10
50,0.005,50,0.4,214735062,184,8
50,0.005,50,0.4,214735062,184,8
50,0.005,50,0.4,260537412,186,7
50,0.005,50,0.4,241760532,175,9
50,0.005,50,0.4,260531472,186,10
50,0.005,50,0.4,214735062,184,8
50,0.005,50,0.4,260531472,186,8
50,0.005,50,0.4,260531472,186,8
50,0.005,50,0.4,260531472,186,6
50,0.005,50,0.4,214735062,184,12
50,0.005,50,0.4,260537142,186,10
50,0.005,50,0.4,260537142,186,9
50,0.005,50,0.4,260531472,186,10
50,0.005,50,0.4,260537142,186,9
50,0.005,50,0.4,214760532,175,10
50,0.005,50,0.4,260531472,186,7
50,0.005,50,0.4,260537142,186,9
50,0.005,50,0.4,260531472,186,10
50,0.005,50,0.4,241735062,183,10
50,0.005,50,0.4,260537412,186,10
50,0.005,50,0.4,214735062,184,10
50,0.005,50,0.4,260537142,186,12
50,0.005,50,0.4,260537142,186,9
50,0.005,50,0.4,214735062,184,9
50,0.005,50,0.4,214735062,184,11
50,0.005,50,0.4,260531472,186,10
50,0.005,50,0.4,214735062,184,10
50,0.005,50,0.4,260537142,186,10
50,0.005,50,0.4,214735062,184,8
50,0.01,50,0.4,260531472,186,10
50,0.01,50,0.4,260537142,186,9
50,0.01,50,0.4,214760532,175,12
50,0.01,50,0.4,260537142,186,13
50,0.01,50,0.4,260531472,186,10
50,0.01,50,0.4,241760532,175,12
50,0.01,50,0.4,274135062,183,11
50,0.01,50,0.4,260531472,186,11
50,0.01,50,0.4,260531472,186,7
50,0.01,50,0.4,260537412,186,8
50,0.01,50,0.4,260537142,186,9
50,0.01,50,0.4,260537142,186,12
50,0.01,50,0.4,260537412,186,10
50,0.01,50,0.4,260531472,186,10
50,0.01,50,0.4,260537142,186,10
50,0.01,50,0.4,260537142,186,10
50,0.01,50,0.4,260531472,186,10
50,0.01,50,0.4,214735062,184,10
50,0.01,50,0.4,260531472,186,9
50,0.01,50,0.4,260537412,186,9
50,0.01,50,0.4,214735062,184,9
50,0.01,50,0.4,214735062,184,10
50,0.01,50,0.4,260531472,186,5
50,0.01,50,0.4,260537142,186,10
50,0.01,50,0.4,260537142,186,8
50,0.01,50,0.4,260531472,186,12
50,0.01,50,0.4,241760532,175,9
50,0.01,50,0.4,276053142,180,10
50,0.01,50,0.4,241605372,173,10
50,0.01,50,0.4,260537142,186,11
50,0.01,50,0.4,260537142,186,9
50,0.01,50,0.4,214735062,184,11
50,0.01,50,0.4,260537412,186,10
50,0.01,50,0.4,214735062,184,9
50,0.01,50,0.4,260537142,186,9
50,0.01,50,0.4,260531472,186,6
50,0.01,50,0.4,260537142,186,7
50,0.01,50,0.4,241760532,175,8
50,0.01,50,0.4,214735062,184,9
50,0.01,50,0.4,241760532,175,5
50,0.01,50,0.4,241760532,175,10
50,0.01,50,0.4,260537412,186,13
50,0.01,50,0.4,214735062,184,13
50,0.01,50,0.4,260537142,186,9
50,0.01,50,0.4,260531472,186,8
50,0.01,50,0.4,260537142,186,10
50,0.01,50,0.4,260537142,186,10
50,0.01,50,0.4,260537412,186,10
50,0.01,50,0.4,241760532,175,12
50,0.01,50,0.4,260537412,186,10
50,0.05,50,0.4,260531472,186,8
50,0.05,50,0.4,260537412,186,8
50,0.05,50,0.4,214735062,184,6
50,0.05,50,0.4,260531472,186,7
50,0.05,50,0.4,214735062,184,10
50,0.05,50,0.4,260537412,186,10
50,0.05,50,0.4,214735062,184,7
50,0.05,50,0.4,260537412,186,12
50,0.05,50,0.4,260537142,186,10
50,0.05,50,0.4,274135062,183,10
50,0.05,50,0.4,260537142,186,11
50,0.05,50,0.4,214735062,184,10
50,0.05,50,0.4,214735062,184,9
50,0.05,50,0.4,214735062,184,11
50,0.05,50,0.4,260537142,186,10
50,0.05,50,0.4,260531472,186,10
50,0.05,50,0.4,260537412,186,12
50,0.05,50,0.4,214735062,184,10
50,0.05,50,0.4,260537412,186,11
50,0.05,50,0.4,260537142,186,12
50,0.05,50,0.4,260531472,186,11
50,0.05,50,0.4,214735062,184,10
50,0.05,50,0.4,260531472,186,10
50,0.05,50,0.4,214735062,184,9
50,0.05,50,0.4,260537412,186,9
50,0.05,50,0.4,260531472,186,8
50,0.05,50,0.4,214735062,184,11
50,0.05,50,0.4,214735062,184,10
50,0.05,50,0.4,260537412,186,6
50,0.05,50,0.4,260537412,186,10
50,0.05,50,0.4,214735062,184,10
50,0.05,50,0.4,205314762,166,8
50,0.05,50,0.4,214735062,184,11
50,0.05,50,0.4,260531472,186,10
50,0.05,50,0.4,214735062,184,10
50,0.05,50,0.4,214735062,184,11
50,0.05,50,0.4,241760532,175,8
50,0.05,50,0.4,214735062,184,9
50,0.05,50,0.4,274135062,183,6
50,0.05,50,0.4,260537412,186,7
50,0.05,50,0.4,260531472,186,11
50,0.05,50,0.4,273506142,171,5
50,0.05,50,0.4,260537412,186,10
50,0.05,50,0.4,260537412,186,10
50,0.05,50,0.4,274135062,183,11
50,0.05,50,0.4,214735062,184,11
50,0.05,50,0.4,260537412,186,10
50,0.05,50,0.4,241760532,175,9
50,0.05,50,0.4,260531472,186,11
50,0.05,50,0.4,260537142,186,7
50,0.1,50,0.4,260537142,186,10
50,0.1,50,0.4,260537412,186,6
50,0.1,50,0.4,214760532,175,8
50,0.1,50,0.4,214760532,175,9
50,0.1,50,0.4,241350762,162,10
50,0.1,50,0.4,274135062,183,6
50,0.1,50,0.4,214735062,184,11
50,0.1,50,0.4,260531472,186,10
50,0.1,50,0.4,214735062,184,11
50,0.1,50,0.4,276053142,180,12
50,0.1,50,0.4,260537412,186,10
50,0.1,50,0.4,214735062,184,10
50,0.1,50,0.4,241760532,175,11
50,0.1,50,0.4,260537142,186,12
50,0.1,50,0.4,214735062,184,8
50,0.1,50,0.4,214735062,184,9
50,0.1,50,0.4,260531472,186,9
50,0.1,50,0.4,260531472,186,9
50,0.1,50,0.4,235061472,165,6
50,0.1,50,0.4,214735062,184,10
50,0.1,50,0.4,214735062,184,10
50,0.1,50,0.4,260537412,186,9
50,0.1,50,0.4,260531472,186,11
50,0.1,50,0.4,214760532,175,10
50,0.1,50,0.4,273506412,171,11
50,0.1,50,0.4,260537142,186,10
50,0.1,50,0.4,260531472,186,10
50,0.1,50,0.4,214735062,184,10
50,0.1,50,0.4,260537142,186,5
50,0.1,50,0.4,260537142,186,10
50,0.1,50,0.4,214735062,184,8
50,0.1,50,0.4,260531472,186,11
50,0.1,50,0.4,214735062,184,9
50,0.1,50,0.4,260537412,186,9
50,0.1,50,0.4,214735062,184,12
50,0.1,50,0.4,260537412,186,9
50,0.1,50,0.4,260531472,186,12
50,0.1,50,0.4,260537412,186,10
50,0.1,50,0.4,214735062,184,8
50,0.1,50,0.4,214735062,184,9
50,0.1,50,0.4,260531472,186,10
50,0.1,50,0.4,260537412,186,10
50,0.1,50,0.4,260537412,186,11
50,0.1,50,0.4,214735062,184,9
50,0.1,50,0.4,214735062,184,10
50,0.1,50,0.4,274135062,183,11
50,0.1,50,0.4,260531472,186,10
50,0.1,50,0.4,260531472,186,13
50,0.1,50,0.4,214735062,184,12
50,0.1,50,0.4,273506412,171,10
50,0.25,50,0.4,260531472,186,10
50,0.25,50,0.4,276053142,180,10
50,0.25,50,0.4,260531472,186,9
50,0.25,50,0.4,214760532,175,10
50,0.25,50,0.4,214735062,184,6
50,0.25,50,0.4,260537412,186,10
50,0.25,50,0.4,214735062,184,13
50,0.25,50,0.4,260537142,186,10
50,0.25,50,0.4,214760532,175,10
50,0.25,50,0.4,241760532,175,9
50,0.25,50,0.4,260537412,186,11
50,0.25,50,0.4,274135062,183,10
50,0.25,50,0.4,214735062,184,10
50,0.25,50,0.4,260537412,186,9
50,0.25,50,0.4,214735062,184,10
50,0.25,50,0.4,214735062,184,11
50,0.25,50,0.4,260537142,186,9
50,0.25,50,0.4,214735062,184,9
50,0.25,50,0.4,260537412,186,11
50,0.25,50,0.4,260537412,186,10
50,0.25,50,0.4,260537412,186,10
50,0.25,50,0.4,260537142,186,11
50,0.25,50,0.4,214760532,175,10
50,0.25,50,0.4,260531472,186,11
50,0.25,50,0.4,214735062,184,11
50,0.25,50,0.4,260537142,186,10
50,0.25,50,0.4,260537142,186,12
50,0.25,50,0.4,260537142,186,11
50,0.25,50,0.4,260531472,186,10
50,0.25,50,0.4,214735062,184,10
50,0.25,50,0.4,241760532,175,11
50,0.25,50,0.4,260537412,186,11
50,0.25,50,0.4,241760532,175,8
50,0.25,50,0.4,260531472,186,9
50,0.25,50,0.4,260531472,186,10
50,0.25,50,0.4,260537412,186,11
50,0.25,50,0.4,260537412,186,11
50,0.25,50,0.4,214735062,184,12
50,0.25,50,0.4,214735062,184,9
50,0.25,50,0.4,260537412,186,12
50,0.25,50,0.4,273506412,171,11
50,0.25,50,0.4,214735062,184,6
50,0.25,50,0.4,274135062,183,10
50,0.25,50,0.4,260537142,186,9
50,0.25,50,0.4,260531472,186,11
50,0.25,50,0.4,260537142,186,6
50,0.25,50,0.4,260537412,186,10
50,0.25,50,0.4,214735062,184,10
50,0.25,50,0.4,260537142,186,12
50,0.25,50,0.4,214735062,184,11
50,0.005,50,0.2,214735062,184,11
50,0.005,50,0.2,276053142,180,10
50,0.005,50,0.2,260537142,186,10
50,0.005,50,0.2,276053142,180,7
50,0.005,50,0.2,260537142,186,9
50,0.005,50,0.2,260537142,186,6
50,0.005,50,0.2,260537142,186,10
50,0.005,50,0.2,214735062,184,9
50,0.005,50,0.2,260537142,186,10
50,0.005,50,0.2,260537412,186,10
50,0.005,50,0.2,260537412,186,8
50,0.005,50,0.2,214735062,184,9
50,0.005,50,0.2,214735062,184,6
50,0.005,50,0.2,260537142,186,9
50,0.005,50,0.2,214735062,184,12
50,0.005,50,0.2,260537142,186,10
50,0.005,50,0.2,214735062,184,12
50,0.005,50,0.2,260537412,186,10
50,0.005,50,0.2,260537142,186,10
50,0.005,50,0.2,214735062,184,10
50,0.005,50,0.2,260537412,186,11
50,0.005,50,0.2,214735062,184,11
